REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1980-06,203.808835509357,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1980.5,,,,,,1,,,198.67569506532,209.928511758106,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1981-06,200.183724828304,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1981.5,,,,,,1,,,195.249935002132,205.879194236435,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1982-06,196.907824231921,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1982.5,,,,,,1,,,192.162302482162,202.345691259484,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1983-06,204.178538016731,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1983.5,,,,,,1,,,199.321188987757,209.822892066181,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1984-06,201.333344142032,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1984.5,,,,,,1,,,196.677399263984,206.697079219192,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1985-06,198.469612001448,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1985.5,,,,,,1,,,194.031338203376,203.59337342177,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1986-06,196.215117134312,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1986.5,,,,,,1,,,191.876356691113,201.193268556298,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1987-06,187.019187090281,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1987.5,,,,,,1,,,183.008447807102,191.586527984722,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1988-06,192.880707023691,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1988.5,,,,,,1,,,187.964833278032,200.674044895521,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1989-06,182.554699814738,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1989.5,,,,,,1,,,178.767357410346,186.758628461784,,,,
